recipe_code,list_korean
529,브로코리
529,감자
529,느타리버섯
529,양파
529,당근
529,찹쌀
529,멥쌀
528,흰살 생선
528,양파
528,치즈
528,감자
528,당근
528,적당량의 물
528,멥쌀
528,찹쌀
527,고구마
527,당근
527,사과
527,물
527,양파
527,멥쌀
527,찹쌀
527,브로코리
526,닭가슴살
526,비트
526,우유 적당량
526,양파
526,대파 대
526,멥쌀
525,불린 쌀
525,닭가슴살
525,청경채
525,정수물 또는 닭육수
525,당근
525,애호박
525,양파
524,멥쌀
524,찹쌀
524,양송이
524,아가용치즈
524,당근
524,양파
524,밤
523,흑임자
523,표고
523,애호박
523,찹쌀
523,양파
523,쌀
523,당근
522,쇠고기
522,아욱
522,감자
522,느타리버섯
522,육수 및 생수
522,당근
522,멥쌀
522,찹쌀
522,양파
521,불린 쌀
521,불린 찹쌀
521,물
521,당근
521,쇠고기
520,불린 쌀
520,물
520,단호박
520,불린 흑미
519,불린 쌀
519,불린 찹쌀
519,생수
519,배
519,밤
518,불린 쌀
518,당근
518,양송이
517,쇠고기육수
517,청경채
517,쇠고기
517,불린 멥쌀
516,멥쌀
516,찹쌀
516,물(쇠고기육수)
516,배
516,시금치
515,단호박
515,브로코리
515,생수
515,찹쌀
515,불린 멥쌀
514,불린 쌀
514,정수물(쇠고기육수)
514,애호박
514,쇠고기
513,불린 쌀
513,생수 반컵
513,오이
512,불린 쌀
512,생수
512,양배추
511,불린 쌀
511,생수 또는 분유물(모유)
511,감자
510,불린 쌀
510,물
510,사과
509,당근
509,불린 쌀
508,불린 쌀
508,생수 반컵
508,고구마
507,애호박(속살)
507,불린 쌀
506,불린 찹쌀
506,불린 쌀
505,불린 쌀
505,물
505,비트 간 것
504,불린 쌀
504,정제수(생수)
504,브로코리
503,단호박
503,불린 쌀
502,배
502,불린 쌀
501,생수
501,불린 쌀
500,올리브오일
500,후춧가루
500,당근
500,샐러리
500,쌀
500,화이트와인
500,완두콩
500,닭 육수
500,이태리고추
500,사라다나
500,트레비소
500,마늘
500,로즈마리
500,낙지
500,이태리파슬리
500,토마토
500,파프리카
500,차이브
500,소금
500,양파
499,돼지 볼살
499,스파게티
499,양파
499,계란노른자
499,그라나 빠다노
499,우유
499,이태리파슬리
499,후추
499,소금
499,생크림
498,송어
498,양상추
498,무순
498,파인애플
498,오이
498,토마토
498,파슬리
497,잉어
497,콩나물
497,미나리
497,계란
497,홍고추
497,[양념장] 고춧가루
497,참기름
497,다진마늘
497,된장
497,물엿
497,생강
497,후춧가루
497,고추장
496,메기
496,무
496,대파
496,마늘
496,생강
496,쑥갓
496,고추장
496,식용유
496,소금
496,후춧가루
496,물
496,고춧가루
495,설탕
495,식초
495,육수
495,깨소금
495,냉면
495,계란
495,방울토마토
495,샐러드채소
495,무
495,[배합초] 소금
495,설탕
495,식초
495,물
495,[비빔양념] 간장
495,고추장
495,다진마늘
495,다진파
495,물엿
494,미소
494,두부
494,간장
494,팽이버섯
494,실파
494,다시마
493,김치
493,꽁치
493,무
493,간장
493,마늘
493,김칫국물
493,대파
492,떡국떡
492,만두피
492,구운김
492,대파
492,다진마늘
492,청정원맛선생
492,국간장
492,참기름
492,만두피
492,다진돼지고기
492,배추김치
492,숙주
492,두부
492,파
492,계란
491,미니파프리카
491,오이
491,당근
491,브로콜리
491,양배추
491,식초
491,발효초
491,설탕
491,소금
491,통후추
491,물
490,플레인요구르트
490,발효초
490,꿀
490,과일통조림
490,초콜릿
489,식초
489,설탕
489,간장
489,참기름
489,다진마늘
489,고추장
489,쫄면
489,오이
489,파프리카
489,깻잎
489,새싹채소
489,물엿
488,우동면
488,참기름
488,김치
488,쑥갓
488,김
488,[육수] 시판용장국
488,물
488,고춧가루
488,국간장
488,소금
488,후춧가루
488,맛술
488,설탕
488,식초
488,고춧가루
488,새우
487,두부
487,계란
487,청정원어장
487,고춧가루
487,깨소금
487,양파
487,미더덕
487,바지락
487,잔새우
487,다시마
487,멸치
487,참기름
486,대하
486,홍고추
486,미더덕
486,바지락
486,꽃게
486,무
486,양파
486,청고추
486,다시마
486,미나리
486,쑥갓
